12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL123733,BL092676,BL213543,BL127513,BL116455,BL235542,BL230531,BL237522,BL236071,BL237522,BL240639,BL162849,BL251803,BL240392,BL279673,BL292721,BL293839,BL322048,BL320420,BL331102
BL158726,BL101668,BL178737,BL125044,BL092761,BL235069,BL234979,BL236674,BL237649,BL243094,BL242468,BL235542,BL251813,BL239854,BL268514,BL293839,BL294352,BL318401,BL319181,BL331456
BL125991,BL098814,BL197421,BL123144,BL098526,BL235079,BL235410,BL241004,BL235438,BL242098,BL241337,BL235318,BL249939,BL228609,BL268292,BL288785,BL288785,BL321238,BL329263,BL331556
BL126064,BL097608,BL175124,BL124880,BL093319,BL226478,BL227109,BL234979,BL237644,BL243045,BL243295,BL237116,BL249185,BL235088,BL265955,BL293381,BL295514,BL328698,BL328332,BL291377
BL126161,BL100413,BL172297,BL125435,BL116463,BL219074,BL228822,BL238183,BL237415,BL245010,BL244046,BL236099,BL251721,BL241299,BL267827,BL294352,BL295461,BL321113,BL328790,BL292069
BL181261,BL100568,BL172350,BL124892,BL124892,BL224543,BL235839,BL236143,BL238260,BL245012,BL242547,BL235775,BL248073,BL243887,BL265961,BL295940,BL294010,BL318308,BL328771,BL315334
BL107508,BL101669,BL180603,BL108583,BL118169,BL222206,BL199547,BL242700,BL241004,BL237938,BL240753,BL236101,BL243779,BL249221,BL264269,BL294010,BL294485,BL319690,BL329264,BL315654
BL159612,BL093478,BL184611,BL110843,BL123733,BL224049,BL200939,BL235474,BL242468,BL236141,BL238958,BL238753,BL249221,BL249064,BL266406,BL294485,BL291417,BL316538,BL329681,BL315984
BL112803,BL093424,BL177676,BL100838,BL118671,BL228427,BL193563,BL228019,BL238559,BL240745,BL236674,BL234908,BL249193,BL248414,BL283140,BL285266,BL288292,BL328771,BL300324,BL316538
BL178743,BL115808,BL185999,BL115177,BL121633,BL225728,BL193613,BL241668,BL243649,BL238574,BL235474,BL234906,BL244143,BL249434,BL296173,BL282872,BL282871,BL328332,BL298746,BL316584
BL166541,BL111404,BL172370,BL116682,BL123902,BL224082,BL182831,BL243401,BL243298,BL237313,BL238035,BL234871,BL249838,BL250867,BL284931,BL281393,BL283512,BL320561,BL310425,BL316906
BL125732,BL116463,BL177608,BL106540,BL124813,BL192483,BL185332,BL238260,BL245010,BL240766,BL238050,BL230354,BL256296,BL248073,BL282871,BL283512,BL299028,BL329701,BL321113,BL317226
BL132988,BL118741,BL171317,BL099828,BL099300,BL194359,BL199825,BL240956,BL241455,BL239798,BL244143,BL228609,BL256294,BL249131,BL285607,BL288292,BL299117,BL315984,BL324896,BL341962
BL123241,BL117204,BL172296,BL107829,BL096577,BL192484,BL215247,BL234871,BL242547,BL236826,BL243094,BL228280,BL256630,BL244143,BL284815,BL285601,BL291303,BL298746,BL321912,BL342403
BL096093,BL118041,BL201761,BL112344,BL102070,BL192493,BL185999,BL236141,BL243779,BL240488,BL237313,BL231749,BL256669,BL249193,BL282449,BL295461,BL300812,BL312030,BL315654,BL342736
BL125435,BL108583,BL172318,BL101955,BL093424,BL192492,BL185339,BL241024,BL242695,BL246349,BL240745,BL231646,BL258305,BL243779,BL282828,BL285485,BL298052,BL308954,BL319690,BL342869
BL122781,BL094357,BL213523,BL097957,BL123241,BL234983,BL193129,BL238964,BL242700,BL243923,BL238574,BL234418,BL256132,BL249838,BL285485,BL298518,BL300324,BL300812,BL324687,BL343059
BL105980,BL109926,BL198335,BL055917,BL122640,BL235003,BL202268,BL236984,BL245332,BL243413,BL238555,BL236007,BL255241,BL243298,BL282856,BL298137,BL298518,BL296173,BL319691,BL343060
BL179037,BL106540,BL199825,BL078201,BL124880,BL235005,BL201089,BL231888,BL235531,BL246359,BL240807,BL235474,BL255284,BL248205,BL281393,BL291303,BL301560,BL321651,BL300596,BL344353
