ticker,date_time,ret,trgt,t1,bin,side,clfW,name,cpn,date_issued,maturity,curr,amt_out,convertible,industry_sector,industry_group,industry_subgroup,callable,call_schedule,ISIN,conId,close,ytm,spread,moody,avg_rating
AO654249,2020-09-11 13:04:02,0.0,0.07074126678917357,2020-09-21 16:59:59,0.0,-1.0,0.8808616548599072,GPOR,6.375,2017-08-04 00:00:00,2025-05-15 00:00:00,USD,599985000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2020-05-15 104.781 2021-05-15 103.188 2022-05-15 101.594 2023-05-15 100.0,US402635AL06,288284160,62.5,0.18603720774674415,0.13603720774674416,7.0,7.0
AO654249,2020-09-21 16:59:59,0.008064516129032473,0.07649878090361044,2020-10-16 13:49:49,1.0,-1.0,0.8808616548599072,GPOR,6.375,2017-08-04 00:00:00,2025-05-15 00:00:00,USD,599985000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2020-05-15 104.781 2021-05-15 103.188 2022-05-15 101.594 2023-05-15 100.0,US402635AL06,288284160,62.5,0.1866669341943264,0.1366669341943264,7.0,7.0
AO654249,2020-10-16 13:49:49,0.11210762331838597,0.0730386655520472,2020-10-29 11:54:27,1.0,-1.0,0.8892346252951414,GPOR,6.375,2017-08-04 00:00:00,2025-05-15 00:00:00,USD,599985000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2020-05-15 104.781 2021-05-15 103.188 2022-05-15 101.594 2023-05-15 100.0,US402635AL06,288284160,62.0,0.1905394270350933,0.1405394270350933,7.0,7.0
AO654249,2020-10-29 11:54:27,-0.03043478260869581,0.09371641038458339,2020-11-17 11:56:29,0.0,-1.0,1.0,GPOR,6.375,2017-08-04 00:00:00,2025-05-15 00:00:00,USD,599985000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2020-05-15 104.781 2021-05-15 103.188 2022-05-15 101.594 2023-05-15 100.0,US402635AL06,288284160,55.75,0.22177533378127523,0.17177533378127524,7.0,7.0
AO662118,2020-07-21 09:31:52,0.027840439550621987,0.012025134278707501,2020-07-31 09:17:30,1.0,1.0,0.5226890495912098,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,89.54599999999999,0.0902934276652336,0.020293427665233593,4.0,4.0
AO662118,2020-07-31 09:17:30,0.01587370571170954,0.015492892191199613,2020-08-04 11:53:13,1.0,1.0,0.5702857413765704,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,92.03899999999999,0.0840243648838997,0.014024364883899687,4.0,4.0
AO662118,2020-08-04 11:53:13,-0.03743315508021405,0.012792587427396465,2020-08-18 16:59:59,0.0,1.0,0.5826249115502568,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,93.5,0.0804080554334756,0.010408055433475588,4.0,4.0
AO662118,2020-08-07 11:50:42,-0.03743315508021405,0.012657811068415984,2020-08-18 16:59:59,0.0,1.0,0.5975837616550471,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,93.5,0.0804297782421112,0.010429778242111193,4.0,4.0
AO662118,2020-08-07 12:11:56,-0.03743315508021405,0.011863608305670743,2020-08-18 16:59:59,0.0,1.0,0.6125426117598376,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,93.5,0.0804297782421112,0.010429778242111193,4.0,4.0
AO662118,2020-08-14 10:55:21,-0.07508161044613737,0.015279177312584602,2020-08-26 08:49:19,0.0,1.0,0.6803476813362481,GEL,6.5,2017-08-07 00:00:00,2025-10-01 00:00:00,USD,550000000.0,False,Energy,Pipelines,Pipelines,True,2020-10-01 104.875 2021-10-01 103.25 2022-10-01 101.625 2023-10-01 100.0,US37185LAJ17,285189744,91.9,0.08450196037054061,0.014501960370540606,4.0,4.0
